quote,author,category
"When I was younger it was - you know, my dad dressed up in drag on 'Bosom Buddies.' And that was what I was having to deal with at the time. And then around the time that I was into college was when he became statue-worthy I guess you could say.",Colin Hanks,"Time, College, Know "
My dad is a much more flamboyant character than I am. I think that's why I couldn't see myself going into straight acting. I always just felt daft.,Nina Conti,"Myself, Character, I Am "
The script for 'In Good Company' was the first one I ever showed my dad.,Topher Grace,"Good, Company, Good Company "
"Creativity runs across many categories in life, from the arts-and-crafts project a mum or dad does with their kids, to the bestselling author's manuscript, to the designs of the hairdresser, to the creations of the computer programming genius.",Tabatha Coffey,"Life, Creativity, Genius "
I didn't always want to be a dad.,Liam Gallagher,"Want, Always "
I had to learn how to chop wood actually - I don't think my dad would have let me go chop wood in the backyard growing up.,Jennifer Lawrence,"Growing Up, Me, Wood "
"Can I play a southern character? You betcha. Can I do the voice of Tourist Dad and Carnival Barker? Ya betcha. Can I do Fix-It Felix? Ya betcha. But I don't want to just play southern characters, so I hide it; I bury it. I tamp it down like a secret. Like a dirty little secret.",Rob Huebel,"Character, Want, Play "
I'm being a dad and a good husband.,Chad Smith,"Good, Husband, Good Husband "
"I'm a fun father, but not a good father. The hard decisions always went to my wife.",John Lithgow,"Good, Father, Wife "
"When it came to the stylish and graceful art of ballroom dancing, my dad was a king of the clubs, a prowling tiger and a wonderfully natural mover.",Bruno Tonioli,"Art, King, Natural "
My dad is a huge rock and roll lead guitar fan. I didn't even really know that until recently. Everything has to have a guitar solo in it.,Slash,"Rock And Roll, Guitar, Know "
"My dad taught me true words you have to use in every relationship. Yes, baby.",Star Jones,"Relationship, Baby, Words "
My father was the most rational and the most dispassionate of men.,Simon Newcomb,"Father, Men, Rational "
"I'm sure there was some part of his soul was intrinsically happy, but he probably had to go through some permutations to really get that to blossom. I'm sure Dad had his challenges, but I think that joy was there from the beginning and he had to find a way to make his life support that and express that.",Jennifer Grant,"Life, Happy, Joy "
"I remember going on carriage rides with Dad when we'd visit. I think quiet L.A. suited him better, but he loved to see shows here, he loved to visit his friends in the Hamptons.",Jennifer Grant,"Friends, Remember, Think "
"My brothers bullied me, so I cried a lot as a kid. It was the only defense I had. Telling them to stop wouldn't work. The crying would bring my dad. Dad was my cavalry.",Steven Adams,"Work, Me, Bring "
"But you know, my dad called me the laziest white kid he ever met. When I screamed back at him that he was putting down a race of people to call me lazy, his answer was that's not what he was doing, and that I was also the dumbest white kid he ever met.",Norman Lear,"Me, People, Know "
I'm Bam Margera. And I feel like kicking my dad's butt all day today.,Bam Margera,"Day, Today, Feel "
"When you grow up on a dairy farm, cows don't take a day off. So you work every day and my dad always said, 'No one can outwork you.'",Pat Summitt,"Work, Day, Grow "
"I haven't really decided to be an actor yet! I started doing plays when I was about 15 or 16. I only did it because my dad saw a bunch of pretty girls in a restaurant and he asked them where they came from and they said drama group. He said, 'Son, that is where you need to go.'",Robert Pattinson,"Son, Restaurant, Drama "
